brand, url , desc, price, emi, time ,date, Status
Apple iPhone SE (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-se-space-grey-32-gb/p/itmetm9fypda5rfs?pid=MOBETM9FZWW5UEZG&srno=b_1_1&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM9FZWW5UEZGJKPO31&fm=organic&iid=dcf6e545-6722-4c2f-88ea-1e9a7ef73a1e.MOBETM9FZWW5UEZG.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:22.6,1/29/2018,200
Apple iPhone 7 (Gold| 32 GB),https://www.flipkart.com/apple-iphone-7-gold-32-gb/p/itmen6daf99nhhjz?pid=MOBEMK62HZHC6TFU&srno=b_1_2&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEMK62HZHC6TFUHGVQFY&fm=organic&iid=dcb33969-fda1-4016-80f6-0c04dc0044f2.MOBEMK62HZHC6TFU.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,46999,1607/month,57:26.5,1/29/2018,200
Apple iPhone 7 (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-7-rose-gold-32-gb/p/itmen6dapsvxanrk?pid=MOBEMK62JSRHU85T&srno=b_1_3&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEMK62JSRHU85TIU9DKW&fm=organic&iid=d3aac347-b0a1-443e-b6e1-0f5832e61c22.MOBEMK62JSRHU85T.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,44999,1538/month,57:29.9,1/29/2018,200
Apple iPhone 6s (Gold| 32 GB),https://www.flipkart.com/apple-iphone-6s-gold-32-gb/p/itmen2yynt6bz3gg?pid=MOBEN2YYQH8PSYXG&srno=b_1_4&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYQH8PSYXG4TGFKX&fm=organic&iid=f1c22612-a061-494b-8588-ea1368f31454.MOBEN2YYQH8PSYXG.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,36999,1265/month,57:34.1,1/29/2018,200
Apple iPhone SE (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-se-rose-gold-32-gb/p/itmetm9fyy3n7zfz?pid=MOBETM93F7DGJNN5&srno=b_1_5&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93F7DGJNN5VCOWGW&fm=organic&iid=3bdf1124-21f5-4a17-ac0f-703327d71cef.MOBETM93F7DGJNN5.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:38.2,1/29/2018,200
Apple iPhone 6s (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-6s-space-grey-32-gb/p/itmen2yyjfzpspyg?pid=MOBEN2YYKU9386TQ&srno=b_1_6&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYKU9386TQCCN1OM&fm=organic&iid=082791de-f3a7-48c5-a108-b961d324c414.MOBEN2YYKU9386TQ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,35999,1231/month,57:41.9,1/29/2018,200
Apple iPhone 6 (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-6-space-grey-32-gb/p/itmetmh3hfhnxtcj?pid=MOBETMH3ZYNDPVVC&srno=b_1_7&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETMH3ZYNDPVVC7BAC1S&fm=organic&iid=9b524729-7d59-420d-a5aa-775e3f990ad1.MOBETMH3ZYNDPVVC.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27999,1358/month,57:45.4,1/29/2018,200
Apple iPhone SE (Gold| 32 GB),https://www.flipkart.com/apple-iphone-se-gold-32-gb/p/itmetm9frzqcdrcm?pid=MOBETM93HMBGUQKH&srno=b_1_8&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93HMBGUQKHZVFD5O&fm=organic&iid=731cd801-fd43-4806-8768-9ec5c9d99377.MOBETM93HMBGUQKH.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:49.2,1/29/2018,200
Apple iPhone 6 (Gold| 32 GB),https://www.flipkart.com/apple-iphone-6-gold-32-gb/p/itmewxhuufbzchrn?pid=MOBEWXHUSBXVJ7NZ&srno=b_1_9&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEWXHUSBXVJ7NZVRFXNL&fm=organic&iid=621cef91-0c50-40ba-8e1d-15f713710bfa.MOBEWXHUSBXVJ7NZ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27999,1358/month,57:53.0,1/29/2018,200
Apple iPhone SE (Silver| 32 GB),https://www.flipkart.com/apple-iphone-se-silver-32-gb/p/itmetm9fwstfc2qc?pid=MOBETM93KHC97KAV&srno=b_1_10&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93KHC97KAVU4MLTY&fm=organic&iid=a121b8e3-2708-4c37-ac22-0ea9195d392d.MOBETM93KHC97KAV.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,20999,1019/month,57:56.4,1/29/2018,200
Apple iPhone 6s Plus (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-6s-plus-rose-gold-32-gb/p/itmen2yyuyggpx32?pid=MOBEN2YYNZNK7MPF&srno=b_1_11&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYNZNK7MPFKY9CMG&fm=organic&iid=f06b0faa-2901-4751-b6fb-65d9be0abb68.MOBEN2YYNZNK7MPF.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,39999,1368/month,58:00.0,1/29/2018,200
Apple iPhone 6s (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-6s-rose-gold-32-gb/p/itmen2yymnfcrxsz?pid=MOBEN2XYK8WFEGM8&srno=b_1_12&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2XYK8WFEGM8QJW5XA&fm=organic&iid=752112b4-1d73-4d92-9b35-6d8ac07fc4e1.MOBEN2XYK8WFEGM8.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,36999,1265/month,58:07.1,1/29/2018,200
Apple iPhone 6s Plus (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-6s-plus-space-grey-32-gb/p/itmen2yyjnqsjcrw?pid=MOBEN2YYPGFCZYHT&srno=b_1_13&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYPGFCZYHTIC5F1I&fm=organic&iid=bbc135fd-f1f7-4a0f-918c-5a378eff906c.MOBEN2YYPGFCZYHT.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,39999,1368/month,58:11.0,1/29/2018,200
Apple iPhone 7 (Black| 128 GB),https://www.flipkart.com/apple-iphone-7-black-128-gb/p/itmen6daqhtbuzhj?pid=MOBEMK62E7YZEVZ8&srno=b_1_14&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEMK62E7YZEVZ8CAIHKE&fm=organic&iid=880ab325-913d-4754-868e-3d3c813a174d.MOBEMK62E7YZEVZ8.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,55999,1914/month,58:14.4,1/29/2018,200
Apple iPhone 8 Plus (Space Grey| 64 GB),https://www.flipkart.com/apple-iphone-8-plus-space-grey-64-gb/p/itmexrgvehtzhh9v?pid=MOBEXRGVQKBREZP8&srno=b_1_15&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEXRGVQKBREZP8PI8YSV&fm=organic&iid=adcdf10d-b177-4dfb-9df6-4ac7ca32b260.MOBEXRGVQKBREZP8.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,69999,2393/month,58:17.9,1/29/2018,200
Apple iPhone 6s Plus (Gold| 32 GB),https://www.flipkart.com/apple-iphone-6s-plus-gold-32-gb/p/itmen2yyeftbdt2y?pid=MOBEN2YY9PHNXRNZ&srno=b_1_16&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YY9PHNXRNZV3S7LI&fm=organic&iid=30696d32-5a1e-4173-ac49-ac598e0339b2.MOBEN2YY9PHNXRNZ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,39999,1368/month,58:21.9,1/29/2018,200
Apple iPhone SE (Gold| 128 GB),https://www.flipkart.com/apple-iphone-se-gold-128-gb/p/itmew5dnutdwvy3h?pid=MOBEW5DNR3AJJQ3B&srno=b_1_17&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEW5DNR3AJJQ3BJ2YWNP&fm=organic&iid=5e23749d-31df-43d0-ab84-b43ad8f098aa.MOBEW5DNR3AJJQ3B.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27799,1348/month,58:26.8,1/29/2018,200
Apple iPhone SE (Rose Gold| 128 GB),https://www.flipkart.com/apple-iphone-se-rose-gold-128-gb/p/itmexrdaphf3esjg?pid=MOBEY5HND7X8YGAD&srno=b_1_18&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEY5HND7X8YGADVXJXXE&fm=organic&iid=8e97927e-3bb4-4956-9333-626e25057d73.MOBEY5HND7X8YGAD.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27799,1348/month,58:29.9,1/29/2018,200
Apple iPhone 7 Plus (Jet Black| 32 GB),https://www.flipkart.com/apple-iphone-7-plus-jet-black-32-gb/p/itmexrhy2ptvjw4k?pid=MOBEXRHYHNQHXUHW&srno=b_1_19&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEXRHYHNQHXUHWQZW4JH&fm=organic&iid=d32faf42-05e3-4c3e-9ac6-d2a9d7f08c1d.MOBEXRHYHNQHXUHW.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,56999,1949/month,58:33.6,1/29/2018,200
Apple iPhone X (Space Gray| 256 GB),https://www.flipkart.com/apple-iphone-x-space-gray-256-gb/p/itmexrgvf2yxeqjr?pid=MOBEXRGVCYGG2KXA&srno=b_1_20&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEXRGVCYGG2KXANMBZHB&fm=organic&iid=34f6aa87-55e8-4a13-b7de-20c5cc418788.MOBEXRGVCYGG2KXA.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,102000,3487/month,58:36.4,1/29/2018,200
Apple iPhone X (Space Gray| 64 GB),https://www.flipkart.com/apple-iphone-x-space-gray-64-gb/p/itmexrgv6hctyrav?pid=MOBEXRGVCMGVCGGQ&srno=b_1_21&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEXRGVCMGVCGGQFLD1LA&fm=organic&iid=a261c4ba-0419-47e8-ad14-419674a360dd.MOBEXRGVCMGVCGGQ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,89000,3042/month,58:39.8,1/29/2018,200
Apple iPhone 6s Plus (Silver| 32 GB),https://www.flipkart.com/apple-iphone-6s-plus-silver-32-gb/p/itmen2yyfzgggn6j?pid=MOBEN2YY7FHXEPQH&srno=b_1_22&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YY7FHXEPQHXFLPL4&fm=organic&iid=bc07040f-49c2-4138-aad5-f45b9adfea54.MOBEN2YY7FHXEPQH.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,40999,1402/month,58:43.9,1/29/2018,200
Apple iPhone 6s Plus (Space Grey| 16 GB),https://www.flipkart.com/apple-iphone-6s-plus-space-grey-16-gb/p/itmebysggxtbyupw?pid=MOBEBY3VXTHDJTUV&srno=b_1_23&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEBY3VXTHDJTUVPHQU7J&fm=organic&iid=662f5bf0-0550-47bc-92b7-a6500ee6493e.MOBEBY3VXTHDJTUV.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,42920,1467/month,58:47.3,1/29/2018,200
Apple iPhone 7 (Jet Black| 32 GB),https://www.flipkart.com/apple-iphone-7-jet-black-32-gb/p/itmexrhyhffwbnzm?pid=MOBEXRHYYRTEN8KX&srno=b_1_24&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEXRHYYRTEN8KXPTJRZJ&fm=organic&iid=de9cd426-da75-446e-8a66-537a1748d0b1.MOBEXRHYYRTEN8KX.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,47999,1641/month,58:50.6,1/29/2018,200
